Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR1755965_1	(32, 58276.0)	(37, 36973.0)	(42, 25284.0)	(47, 20546.0)	(52, 43682.0)	(57, 24599.0)	(62, 16386.0)	(67, 9834.0)	(72, 11597.0)	(77, 25784.0)	(82, 22954.0)	(87, 25465.0)	(92, 25789.0)	(97, 24570.0)	(102, 31096.0)	(107, 40655.0)	(112, 58459.0)	(117, 73636.0)	(122, 66155.0)	(127, 83842.0)	(132, 114195.0)	(137, 145060.0)	(142, 110240.0)	(147, 99892.0)	(151, 383712.0)
ERR1755965_2	(32, 28627.0)	(37, 15747.0)	(42, 10162.0)	(47, 13705.0)	(52, 20572.0)	(57, 29702.0)	(62, 21933.0)	(67, 15375.0)	(72, 14401.0)	(77, 32386.0)	(82, 23522.0)	(87, 22157.0)	(92, 20248.0)	(97, 22497.0)	(102, 24850.0)	(107, 27811.0)	(112, 34801.0)	(117, 42261.0)	(122, 56303.0)	(127, 63328.0)	(132, 81145.0)	(137, 103428.0)	(142, 131702.0)	(147, 103593.0)	(151, 618425.0)
ERR1755971_1	(32, 14523.0)	(37, 10198.0)	(42, 6181.0)	(47, 8180.0)	(52, 10060.0)	(57, 14605.0)	(62, 12943.0)	(67, 12401.0)	(72, 11157.0)	(77, 16947.0)	(82, 14361.0)	(87, 13660.0)	(92, 13397.0)	(97, 13727.0)	(102, 17429.0)	(107, 25810.0)	(112, 33999.0)	(117, 42363.0)	(122, 49964.0)	(127, 64762.0)	(132, 90774.0)	(137, 88275.0)	(142, 100680.0)	(147, 108122.0)	(151, 259162.0)
ERR1755971_2	(32, 23628.0)	(37, 7156.0)	(42, 3797.0)	(47, 7500.0)	(52, 7944.0)	(57, 17440.0)	(62, 11883.0)	(67, 11927.0)	(72, 9317.0)	(77, 16824.0)	(82, 13517.0)	(87, 13203.0)	(92, 13558.0)	(97, 14100.0)	(102, 17662.0)	(107, 27363.0)	(112, 36791.0)	(117, 46802.0)	(122, 46874.0)	(127, 51869.0)	(132, 85277.0)	(137, 87823.0)	(142, 101500.0)	(147, 108254.0)	(151, 271671.0)
ERR1755973_1	(32, 45726.0)	(37, 29030.0)	(42, 12637.0)	(47, 15438.0)	(52, 21037.0)	(57, 24388.0)	(62, 19240.0)	(67, 10552.0)	(72, 11715.0)	(77, 20834.0)	(82, 18770.0)	(87, 19583.0)	(92, 21581.0)	(97, 17299.0)	(102, 22080.0)	(107, 36145.0)	(112, 62134.0)	(117, 69919.0)	(122, 44985.0)	(127, 59902.0)	(132, 86531.0)	(137, 129473.0)	(142, 83869.0)	(147, 84914.0)	(151, 408821.0)
ERR1755973_2	(32, 31697.0)	(37, 13496.0)	(42, 6757.0)	(47, 13379.0)	(52, 17530.0)	(57, 23791.0)	(62, 19590.0)	(67, 17481.0)	(72, 9864.0)	(77, 27308.0)	(82, 19538.0)	(87, 17616.0)	(92, 17922.0)	(97, 17929.0)	(102, 21129.0)	(107, 28186.0)	(112, 41235.0)	(117, 43722.0)	(122, 63036.0)	(127, 60971.0)	(132, 74867.0)	(137, 107862.0)	(142, 99403.0)	(147, 108616.0)	(151, 473678.0)
ERR1755988_1	(32, 22383.0)	(37, 14694.0)	(42, 12220.0)	(47, 6860.0)	(52, 15088.0)	(57, 15289.0)	(62, 11120.0)	(67, 6480.0)	(72, 7229.0)	(77, 12541.0)	(82, 12090.0)	(87, 12581.0)	(92, 11253.0)	(97, 12472.0)	(102, 15163.0)	(107, 21126.0)	(112, 27578.0)	(117, 29475.0)	(122, 20137.0)	(127, 23551.0)	(132, 45876.0)	(137, 44247.0)	(142, 31787.0)	(147, 20157.0)	(151, 157277.0)
ERR1755988_2	(32, 15490.0)	(37, 28211.0)	(42, 9222.0)	(47, 10445.0)	(52, 13111.0)	(57, 15465.0)	(62, 13549.0)	(67, 10213.0)	(72, 8872.0)	(77, 17550.0)	(82, 15481.0)	(87, 14088.0)	(92, 13518.0)	(97, 12824.0)	(102, 15827.0)	(107, 22429.0)	(112, 29350.0)	(117, 32387.0)	(122, 48097.0)	(127, 37621.0)	(132, 37216.0)	(137, 48005.0)	(142, 32541.0)	(147, 23661.0)	(151, 83501.0)
ERR1755991_1	(32, 49612.0)	(37, 27919.0)	(42, 23117.0)	(47, 17187.0)	(52, 34147.0)	(57, 32562.0)	(62, 24421.0)	(67, 14674.0)	(72, 14843.0)	(77, 28672.0)	(82, 27657.0)	(87, 24104.0)	(92, 23072.0)	(97, 22066.0)	(102, 30456.0)	(107, 42459.0)	(112, 62586.0)	(117, 67239.0)	(122, 40465.0)	(127, 48249.0)	(132, 72230.0)	(137, 98920.0)	(142, 74099.0)	(147, 71036.0)	(151, 268850.0)
ERR1755991_2	(32, 29584.0)	(37, 19760.0)	(42, 13313.0)	(47, 21534.0)	(52, 20629.0)	(57, 29908.0)	(62, 26191.0)	(67, 16176.0)	(72, 13547.0)	(77, 29199.0)	(82, 21922.0)	(87, 18488.0)	(92, 17291.0)	(97, 18499.0)	(102, 21381.0)	(107, 25867.0)	(112, 34468.0)	(117, 37698.0)	(122, 46152.0)	(127, 50479.0)	(132, 62369.0)	(137, 98555.0)	(142, 103531.0)	(147, 100811.0)	(151, 363290.0)
