Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR4223601_1	(251, 427816.0)																								
ERR4223601_2	(251, 427816.0)																								
ERR4223602_1	(251, 462210.0)																								
ERR4223602_2	(251, 462210.0)																								
ERR4223603_1	(251, 450459.0)																								
ERR4223603_2	(251, 450459.0)																								
ERR4223604_1	(251, 395203.0)																								
ERR4223604_2	(251, 395203.0)																								
ERR4223605_1	(251, 384791.0)																								
ERR4223605_2	(251, 384791.0)																								
ERR4223606_1	(251, 411105.0)																								
ERR4223606_2	(251, 411105.0)																								
ERR4223607_1	(251, 403284.0)																								
ERR4223607_2	(251, 403284.0)																								
ERR4223608_1	(251, 568212.0)																								
ERR4223608_2	(251, 568212.0)																								
ERR4223609_1	(251, 555758.0)																								
ERR4223609_2	(251, 555758.0)																								
ERR4223610_1	(251, 436010.0)																								
ERR4223610_2	(251, 436010.0)																								
ERR4223611_1	(251, 426057.0)																								
ERR4223611_2	(251, 426057.0)																								
ERR4223612_1	(251, 365150.0)																								
ERR4223612_2	(251, 365150.0)																								
ERR4223613_1	(251, 358405.0)																								
ERR4223613_2	(251, 358405.0)																								
ERR4223614_1	(251, 467944.0)																								
ERR4223614_2	(251, 467944.0)																								
ERR4223615_1	(251, 454217.0)																								
ERR4223615_2	(251, 454217.0)																								
ERR4223616_1	(251, 455683.0)																								
ERR4223616_2	(251, 455683.0)																								
ERR4223617_1	(251, 443336.0)																								
ERR4223617_2	(251, 443336.0)																								
ERR4223618_1	(251, 420451.0)																								
ERR4223618_2	(251, 420451.0)																								
ERR4223619_1	(251, 409389.0)																								
ERR4223619_2	(251, 409389.0)																								
ERR4223620_1	(251, 476605.0)																								
ERR4223620_2	(251, 476605.0)																								
ERR4223621_1	(251, 464990.0)																								
ERR4223621_2	(251, 464990.0)																								
ERR4223622_1	(251, 415099.0)																								
ERR4223622_2	(251, 415099.0)																								
ERR4223623_1	(251, 404363.0)																								
ERR4223623_2	(251, 404363.0)																								
ERR4223624_1	(251, 408568.0)																								
ERR4223624_2	(251, 408568.0)																								
ERR4223625_1	(251, 398784.0)																								
ERR4223625_2	(251, 398784.0)																								
ERR4223626_1	(251, 476854.0)																								
ERR4223626_2	(251, 476854.0)																								
ERR4223627_1	(251, 465412.0)																								
ERR4223627_2	(251, 465412.0)																								
ERR9875453_1	(151, 1249644.0)																								
ERR9875453_2	(151, 1249644.0)																								
ERR9875457_1	(151, 1141208.0)																								
ERR9875457_2	(151, 1141208.0)																								
ERR9875459_1	(151, 1227051.0)																								
ERR9875459_2	(151, 1227051.0)																								
ERR9875461_1	(151, 1286389.0)																								
ERR9875461_2	(151, 1286389.0)																								
ERR9875463_1	(151, 1018071.0)																								
ERR9875463_2	(151, 1018071.0)																								
ERR9875466_1	(151, 1184216.0)																								
ERR9875466_2	(151, 1184216.0)																								
ERR9875467_1	(151, 1303034.0)																								
ERR9875467_2	(151, 1303034.0)																								
ERR9875470_1	(151, 1129686.0)																								
ERR9875470_2	(151, 1129686.0)																								
ERR9875473_1	(151, 1180569.0)																								
ERR9875473_2	(151, 1180569.0)																								
ERR9875474_1	(151, 1045286.0)																								
ERR9875474_2	(151, 1045286.0)																								
ERR9875475_1	(151, 1248970.0)																								
ERR9875475_2	(151, 1248970.0)																								
ERR9875477_1	(151, 1262536.0)																								
ERR9875477_2	(151, 1262536.0)																								
ERR9875478_1	(151, 1108275.0)																								
ERR9875478_2	(151, 1108275.0)																								
ERR9875480_1	(151, 1084252.0)																								
